TrH2_hyp_clust10124.t1		DDE_Tnp_4/
TrH2_TrispH2_008524-RA		
TrH2_TrispH2_008525-RA	methylmalonyl_CoA_mutase	MM_CoA_mutase/B12-binding/
TrH2_TrispH2_008526-RA		TFIIIC_delta/
TrH2_TrispH2_008527-RA	methyltransferase_like_18	Methyltransf_16/
TrH2_TrispH2_008528-RA	NADH_ubiquinone_oxidoreductase_core_subunit_S1	Fer2_4/NADH-G_4Fe-4S_3/Molybdopterin/NADH_dhqG_C/
TrH2_TrispH2_008529-RA	homologous_recombination_factor_with_OB_fold	DUF4539/
TrH2_TrispH2_008530-RA	LDL_receptor_related_protein_associated_protein_1	Alpha-2-MRAP_N/
TrH2_TrispH2_008531-RA	NACHT_and_WD_repeat_domain_containing_2	DUF4062/NACHT/
TrH2_TrispH2_008532-RA	DnaJ_heat_shock_protein_family_Hsp40_member_C10	DnaJ/Thioredoxin/Thioredoxin/Thioredoxin/Thioredoxin/
TrH2_TrispH2_008533-RA		
TrH2_TrispH2_008534-RA	solute_carrier_family_38_member_11	Aa_trans/
TrH2_TrispH2_008535-RA	glycerol_kinase_5	FGGY_N/FGGY_C/
TrH2_TrispH2_008536-RA	EF_hand_calcium_binding_domain_1	EF-hand_5/EF-hand_7/
TrH2_TrispH2_008537-RA	tRNA_splicing_endonuclease_subunit_2	tRNA_int_endo_N/tRNA_int_endo/
TrH2_TrispH2_008538-RA	dephospho_CoA_kinase_domain_containing	CoaE/
TrH2_TrispH2_008539-RA	polypeptide_N_acetylgalactosaminyltransferase_11	Glycos_transf_2/
TrH2_TrispH2_008540-RA	transformer_2_beta_homolog	RRM_1/
TrH2_TrispH2_008541-RA	cilia_and_flagella_associated_protein_69	
TrH2_TrispH2_008542-RA	DBF4_zinc_finger	zf-DBF/
TrH2_TrispH2_008543-RA		Senescence/
TrH2_TrispH2_008544-RA	ADP_ribosylation_factor_like_GTPase_5B	Arf/
TrH2_TrispH2_008545-RA	ATP_synthase_F1_subunit_beta	ATP-synt_ab_N/ATP-synt_ab/
TrH2_TrispH2_008546-RA	transmembrane_protein_106B	DUF1356/
TrH2_TrispH2_008547-RA	phospholipase_A2_group_VII	PAF-AH_p_II/
TrH2_TrispH2_008548-RA	ribosomal_protein_L30	Ribosomal_L7Ae/
TrH2_TrispH2_008549-RA	tubulin_epsilon_1	Tubulin/Tubulin_C/
TrH2_TrispH2_008550-RA	RBPJ_interacting_and_tubulin_associated_1	RITA/
TrH2_TrispH2_008551-RA		
TrH2_TrispH2_008552-RA		
TrH2_TrispH2_008553-RA	t_complex_1	Cpn60_TCP1/
TrH2_TrispH2_008554-RA	ERGIC_and_golgi_3	ERGIC_N/COPIIcoated_ERV/
TrH2_TrispH2_008555-RA	NSE3_homolog_SMC5_SMC6_complex_component	MAGE/
TrH2_TrispH2_008556-RA	ArfGAP_with_SH3_domain_ankyrin_repeat_and_PH_domain_2	BAR_3/PH/ArfGap/Ank_2/SH3_1/
TrH2_TrispH2_008557-RA	tribbles_pseudokinase_2	Pkinase/
TrH2_TrispH2_008558-RA	enoyl_CoA_hydratase_domain_containing_3	ECH_1/
TrH2_TrispH2_008559-RA	jumonji_domain_containing_7	Cupin_8/
TrH2_TrispH2_008560-RA	acyl_CoA_oxidase_1	Acyl-CoA_ox_N/Acyl-CoA_dh_M/ACOX/ACOX/
TrH2_TrispH2_008561-RA	sepiapterin_reductase	adh_short/
TrH2_TrispH2_008562-RA		
TrH2_TrispH2_008563-RA	acyl_CoA_oxidase_1	Dpoe2NT/DNA_pol_E_B/Acyl-CoA_ox_N/ACOX/
TrH2_TrispH2_008564-RA	acyl_CoA_oxidase_1	Acyl-CoA_ox_N/Acyl-CoA_dh_M/ACOX/
TrH2_TrispH2_008565-RA		
TrH2_TrispH2_008566-RA	RNA_guanylyltransferase_and_5_phosphatase	DSPc/mRNA_cap_enzyme/mRNA_cap_C/
TrH2_TrispH2_008567-RA	survival_motor_neuron_domain_containing_1	SMN/
TrH2_TrispH2_008568-RA	eukaryotic_translation_elongation_factor_1_delta	EF1_GNE/
TrH2_TrispH2_008569-RA	carnitine_palmitoyltransferase_2	Carn_acyltransf/Carn_acyltransf/
TrH2_TrispH2_008570-RA	leucine_rich_repeat_neuronal_2	I-set/
TrH2_TrispH2_008571-RA	upstream_binding_transcription_factor	HMG_box/HMG_box/
TrH2_TrispH2_008572-RA		7tm_1/
TrH2_TrispH2_008573-RA	somatostatin_receptor_1	7tm_1/
TrH2_TrispH2_008574-RA	neurofascin	Bravo_FIGEY/
TrH2_TrispH2_008575-RA	calcium_sensing_receptor	ANF_receptor/NCD3G/7tm_3/
TrH2_TrispH2_008576-RA	contactin_6	Ig_3/Ig_3/I-set/fn3/Bravo_FIGEY/
TrH2_TrispH2_008577-RA	translocase_of_outer_mitochondrial_membrane_7	Tom7/
TrH2_TrispH2_008578-RA	ankyrin_and_armadillo_repeat_containing	Ank_2/Arm/
TrH2_TrispH2_008579-RA	O_sialoglycoprotein_endopeptidase_like_1	TsaD/
TrH2_TrispH2_008580-RA		
TrH2_TrispH2_008581-RA		7tm_1/
TrH2_TrispH2_008582-RA	leucine_carboxyl_methyltransferase_2	LCM/Kelch_4/
TrH2_TrispH2_008583-RA	WD_repeat_domain_75	WD40/WD40/
TrH2_TrispH2_008584-RA	small_ubiquitin_like_modifier_1	Rad60-SLD/
TrH2_TrispH2_008585-RA	lysine_acetyltransferase_2A	PCAF_N/Acetyltransf_1/Bromodomain/
TrH2_TrispH2_008586-RA	elongation_factor_Tu_GTP_binding_domain_containing_2	EFTUD2/GTP_EFTU/GTP_EFTU_D2/EFG_IV/EFG_C/
TrH2_TrispH2_008587-RA	sorcin	EF-hand_8/
TrH2_TrispH2_008588-RA	tubulin_tyrosine_ligase_like_4	TTL/
TrH2_TrispH2_008589-RA	SH3_binding_domain_protein_5_like	SH3BP5/
TrH2_TrispH2_008590-RA		
TrH2_TrispH2_008591-RA		
TrH2_TrispH2_008592-RA	PYM_homolog_1_exon_junction_complex_associated_factor	Mago-bind/
TrH2_TrispH2_008593-RA	cullin_2	Cullin/Cullin_Nedd8/
TrH2_TrispH2_008594-RA	small_nuclear_RNA_activating_complex_polypeptide_1	SNAPc_SNAP43/
TrH2_TrispH2_008595-RA	diazepam_binding_inhibitor_acyl_CoA_binding_protein	ACBP/
TrH2_TrispH2_008596-RA	SEC61_translocon_subunit_alpha_2	Plug_translocon/SecY/
TrH2_TrispH2_008597-RA	par_3_family_cell_polarity_regulator	Par3_HAL_N_term/PDZ/PDZ/
TrH2_TrispH2_008598-RA	tuftelin_interacting_protein_11	GCFC/
TrH2_TrispH2_008599-RA	mucin_5AC_oligomeric_mucus_gel_forming	VWD/C8/TIL/Pacifastin_I/VWD/C8/TIL/TIL/VWD/C8/
TrH2_TrispH2_008600-RA	natriuretic_peptide_receptor_2	NIT/HNOBA/Guanylate_cyc/
TrH2_TrispH2_008601-RA	PAF1_homolog_Paf1_RNA_polymerase_II_complex_component	Paf1/
TrH2_TrispH2_008602-RA		
TrH2_TrispH2_008603-RA	leucine_rich_repeat_containing_8_VRAC_subunit_D	LRR_1/LRR_8/LRR_6/
TrH2_TrispH2_008604-RA	FKBP_prolyl_isomerase_4	FKBP_C/
TrH2_TrispH2_008605-RA	tectonic_family_member_2	Lectin_C/DUF1619/
TrH2_TrispH2_008606-RA	sphingomyelin_phosphodiesterase_4	mit_SMPDase/
TrH2_TrispH2_008607-RA	spliceosome_associated_factor_3_U4_U6_recycling_protein	RRM_1/RRM_1/
TrH2_TrispH2_008608-RA	poly_ADP_ribose_glycohydrolase	PARG_cat/
TrH2_TrispH2_008609-RA	UDP_GlcNAc_betaGal_beta_1_3_N_acetylglucosaminyltransferase_5	Galactosyl_T/
TrH2_TrispH2_008610-RA		
TrH2_TrispH2_008611-RA		
TrH2_TrispH2_008612-RA	synaptotagmin_15	C2/C2/
TrH2_TrispH2_008613-RA	ribosomal_protein_S24	Ribosomal_S24e/
TrH2_TrispH2_008614-RA	coiled_coil_helix_coiled_coil_helix_domain_containing_1	CHCH/
TrH2_TrispH2_008615-RA		CARD/TIR_2/
TrH2_TrispH2_008616-RA		
TrH2_TrispH2_008617-RA		Lectin_C/
TrH2_TrispH2_008618-RA		
TrH2_TrispH2_008619-RA	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_15	Lectin_C/TSP_1/
TrH2_TrispH2_008620-RA	ethanolamine_phosphate_phospho_lyase	Aminotran_3/
TrH2_TrispH2_008621-RA	EF_hand_domain_containing_1	DUF1126/DUF1126/DUF1126/EF-hand_7/
TrH2_TrispH2_008622-RA	phosphatidylserine_synthase_1	PSS/
TrH2_TrispH2_008623-RA	ribosomal_protein_L11	Ribosomal_L5/Ribosomal_L5_C/
TrH2_TrispH2_008624-RA	GLI_pathogenesis_related_2	CAP/
TrH2_TrispH2_008625-RA	ribosomal_protein_L19	Ribosomal_L19e/
TrH2_TrispH2_008626-RA	relaxin_family_peptide_receptor_1	LRR_8/LRR_8/LRR_8/LRR_8/LRR_8/LRR_8/LRR_8/7tm_1/
TrH2_TrispH2_008627-RA	transcriptional_adaptor_2A	Myb_DNA-binding/SWIRM/
TrH2_TrispH2_008628-RA	kinesin_family_member_22	Kinesin/HHH_3/
TrH2_TrispH2_008629-RA	zinc_finger_DHHC_type_palmitoyltransferase_8	DHHC/
TrH2_TrispH2_008630-RA	histone_cell_cycle_regulator	WD40/WD40/WD40/Hira/
TrH2_TrispH2_008631-RA	carboxypeptidase_D	Peptidase_M14/CarboxypepD_reg/
TrH2_TrispH2_008632-RA	carboxypeptidase_D	Peptidase_M14/CarboxypepD_reg/
TrH2_TrispH2_008633-RA	leucine_rich_repeat_containing_74A	LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/LRR_6/EF-hand_7/
TrH2_TrispH2_008634-RA	RAD9_checkpoint_clamp_component_A	Rad9/
TrH2_TrispH2_008635-RA		Cgr1/
TrH2_TrispH2_008636-RA		
TrH2_TrispH2_008637-RA	thioredoxin_domain_containing_17	DUF953/
TrH2_TrispH2_008638-RA		PAXIP1_C/
TrH2_TrispH2_008639-RA	MKS_transition_zone_complex_subunit_1	B9-C2/
TrH2_TrispH2_008640-RA	retinol_dehydrogenase_5	adh_short/
TrH2_TrispH2_008641-RA	nuclear_receptor_corepressor_1	GPS2_interact/Myb_DNA-binding/Myb_DNA-binding/
TrH2_TrispH2_008642-RA	4_hydroxyphenylpyruvate_dioxygenase	Glyoxalase/Glyoxalase/
TrH2_TrispH2_008643-RA	SAGA_complex_associated_factor_29	DUF1325/
TrH2_TrispH2_008644-RA	TLC_domain_containing_3A	TRAM_LAG1_CLN8/
TrH2_TrispH2_008645-RA	malectin	Malectin/
TrH2_TrispH2_008646-RA	chaperonin_containing_TCP1_subunit_6A	Cpn60_TCP1/
TrH2_TrispH2_008647-RA		
TrH2_TrispH2_008648-RA		
TrH2_TrispH2_008649-RA	mediator_complex_subunit_21	Med21/
TrH2_TrispH2_008650-RA	metabolism_of_cobalamin_associated_B	Cob_adeno_trans/
TrH2_TrispH2_008651-RA	clathrin_heavy_chain	Clathrin_propel/Clathrin_propel/Clathrin_propel/Clathrin-link/Clathrin_H_link/Clathrin/Clathrin/Clathrin/Clathrin/Clathrin/Clathrin/Clathrin/
TrH2_TrispH2_008652-RA	glutamate_ionotropic_receptor_delta_type_subunit_2	
TrH2_TrispH2_008653-RA	prokineticin_receptor_2	7tm_1/
TrH2_TrispH2_008654-RA	opsin_4	7tm_1/
TrH2_TrispH2_008655-RA	somatostatin_receptor_2	7tm_1/
TrH2_TrispH2_008656-RA	selenium_binding_protein_1	SBP56/
TrH2_TrispH2_008657-RA	dynactin_subunit_6	Hexapep/
TrH2_TrispH2_008658-RA	ADAM_metallopeptidase_domain_10	Pep_M12B_propep/Reprolysin_2/
TrH2_TrispH2_008659-RA	EF_hand_calcium_binding_domain_11	EF-hand_7/
TrH2_TrispH2_008660-RA	GA_binding_protein_transcription_factor_subunit_beta_1	Ank_2/Ank_4/
TrH2_TrispH2_008661-RA	riboflavin_kinase	Flavokinase/
TrH2_TrispH2_008662-RA		Epimerase/
TrH2_TrispH2_008663-RA	protein_arginine_methyltransferase_3	Methyltransf_25/
TrH2_TrispH2_008664-RA	telomerase_associated_protein_1	TROVE/DUF4062/NACHT/APAF1_C/WD40/WD40/WD40/WD40/WD40/ANAPC4_WD40/WD40/WD40/WD40/WD40/
TrH2_TrispH2_008665-RA	glutamyl_aminopeptidase	Peptidase_M1_N/Peptidase_M1/ERAP1_C/
TrH2_TrispH2_008666-RA	glutamyl_aminopeptidase	Peptidase_M1_N/Peptidase_M1/ERAP1_C/
TrH2_TrispH2_008667-RA	alanyl_aminopeptidase_membrane	Peptidase_M1_N/Peptidase_M1/ERAP1_C/
TrH2_TrispH2_008668-RA	ankyrin_repeat_domain_13B	Ank_2/Ank_2/Ank_4/Ank_2/Ank_4/Ank_2/Death/
TrH2_TrispH2_008669-RA	endoplasmic_reticulum_aminopeptidase_2	Peptidase_M1_N/Peptidase_M1/ERAP1_C/
TrH2_TrispH2_008670-RA	endoplasmic_reticulum_aminopeptidase_2	Peptidase_M1_N/Peptidase_M1/ERAP1_C/
TrH2_TrispH2_008671-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_2/Ank_2/Ank_2/Ion_trans/
TrH2_TrispH2_008672-RA		
TrH2_TrispH2_008673-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_2/Ank_2/Ank_2/Ank_2/
TrH2_TrispH2_008674-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_4/Ank_4/Ank_2/Ank_2/Ank_2/
TrH2_TrispH2_008675-RA	ribosomal_RNA_processing_9_U3_small_nucleolar_RNA_binding_protein	WD40/WD40/WD40/WD40/
TrH2_TrispH2_008676-RA	RNA_binding_motif_protein_15	RRM_1/SPOC/
TrH2_TrispH2_008677-RA	interferon_related_developmental_regulator_2	IFRD/IFRD_C/
TrH2_TrispH2_008678-RA		
TrH2_TrispH2_008679-RA	cytochrome_P450_family_27_subfamily_C_member_1	p450/
TrH2_TrispH2_008680-RA	Nedd4_family_interacting_protein_1	DUF2370/
TrH2_TrispH2_008681-RA		
TrH2_TrispH2_008682-RA	replication_factor_C_subunit_3	DNA_pol3_delta2/
TrH2_TrispH2_008683-RA	DAP3_binding_cell_death_enhancer_1	Sel1/Sel1/Sel1/Sel1/
TrH2_TrispH2_008684-RA	component_of_inhibitor_of_nuclear_factor_kappa_B_kinase_complex	Pkinase_Tyr/
TrH2_TrispH2_008685-RA	interleukin_1_receptor_associated_kinase_4	Pkinase/
TrH2_TrispH2_008686-RA	eukaryotic_translation_initiation_factor_2_alpha_kinase_4	Pkinase/
TrH2_TrispH2_008687-RA	interleukin_1_receptor_associated_kinase_4	Pkinase_Tyr/
TrH2_TrispH2_008688-RA	interleukin_1_receptor_associated_kinase_4	Pkinase/
TrH2_TrispH2_008689-RA	interleukin_1_receptor_associated_kinase_4	Pkinase_Tyr/
TrH2_TrispH2_008690-RA		
TrH2_TrispH2_008691-RA	5_hydroxytryptamine_receptor_1B	7tm_1/
TrH2_TrispH2_008692-RA	somatostatin_receptor_3	7tm_1/
TrH2_TrispH2_008693-RA	CYP3A7_CYP3A51P_readthrough	p450/
TrH2_TrispH2_008694-RA	CYP3A7_CYP3A51P_readthrough	p450/
TrH2_TrispH2_008695-RA	iodothyronine_deiodinase_1	T4_deiodinase/
TrH2_TrispH2_008696-RA	acyl_CoA_synthetase_family_member_2	AMP-binding/AMP-binding_C/
TrH2_TrispH2_008697-RA	acyl_CoA_synthetase_family_member_2	AMP-binding/AMP-binding_C/
TrH2_TrispH2_008698-RA	acyl_CoA_synthetase_family_member_2	AMP-binding/AMP-binding_C/
TrH2_TrispH2_008699-RA		AMP-binding_C/
TrH2_TrispH2_008700-RA	acyl_CoA_synthetase_family_member_2	AMP-binding/AMP-binding_C/
TrH2_TrispH2_008701-RA	cytochrome_P450_family_3_subfamily_A_member_5	p450/
TrH2_TrispH2_008702-RA	cytochrome_P450_family_3_subfamily_A_member_5	p450/
TrH2_TrispH2_008703-RA	cytochrome_P450_family_3_subfamily_A_member_4	p450/
TrH2_TrispH2_008704-RA	cytochrome_P450_family_3_subfamily_A_member_4	p450/
TrH2_TrispH2_008705-RA	cytochrome_P450_family_3_subfamily_A_member_4	p450/
TrH2_TrispH2_008706-RA	cytochrome_P450_family_3_subfamily_A_member_5	p450/
TrH2_TrispH2_008707-RA	cytochrome_P450_family_3_subfamily_A_member_4	p450/
TrH2_TrispH2_008708-RA	CYP3A7_CYP3A51P_readthrough	p450/
TrH2_TrispH2_008709-RA	cytochrome_P450_family_3_subfamily_A_member_4	p450/
TrH2_TrispH2_008710-RA	karyopherin_subunit_alpha_1	Arm/
TrH2_TrispH2_008711-RA		
TrH2_TrispH2_008712-RA	cytochrome_P450_family_3_subfamily_A_member_5	p450/
TrH2_TrispH2_008713-RA	cytochrome_P450_family_3_subfamily_A_member_4	p450/
TrH2_TrispH2_008714-RA	solute_carrier_family_36_member_3	Aa_trans/
TrH2_TrispH2_008715-RA	trafficking_protein_particle_complex_2	Sedlin_N/
TrH2_TrispH2_008716-RA		
TrH2_TrispH2_008717-RA	epoxide_hydrolase_1	EHN/
TrH2_TrispH2_008718-RA	epoxide_hydrolase_1	EHN/
TrH2_TrispH2_008719-RA	cytochrome_P450_family_3_subfamily_A_member_5	p450/
TrH2_TrispH2_008720-RA	mitochondrial_ribosomal_protein_S21	Ribosomal_S21/
TrH2_TrispH2_008721-RA	phosphoglucomutase_2	PGM_PMM_I/PGM_PMM_II/PGM_PMM_III/PGM_PMM_IV/
TrH2_TrispH2_008722-RA	grainyhead_like_transcription_factor_2	CP2/
TrH2_TrispH2_008723-RA	baculoviral_IAP_repeat_containing_5	BIR/
TrH2_TrispH2_008724-RA	zinc_finger_DHHC_type_palmitoyltransferase_17	Ank_3/Ank_2/DHHC/
TrH2_TrispH2_008725-RA	folate_receptor_gamma	Folate_rec/
TrH2_TrispH2_008726-RA		Ank_2/
TrH2_TrispH2_008727-RA	NIMA_related_kinase_1	Pkinase/
TrH2_TrispH2_008728-RA	FSHD_region_gene_1	FRG1/
TrH2_TrispH2_008729-RA	dehydrogenase_reductase_4	adh_short_C2/
TrH2_TrispH2_008730-RA	adhesion_G_protein_coupled_receptor_L3	GPS/7tm_2/
TrH2_TrispH2_008731-RA	purine_nucleoside_phosphorylase	PNP_UDP_1/
TrH2_TrispH2_008732-RA	EMAP_like_6	HELP/WD40/WD40/WD40/WD40/HELP/WD40/WD40/WD40/WD40/HELP/ANAPC4_WD40/WD40/
TrH2_TrispH2_008733-RA	testis_expressed_55	DUF5582/
TrH2_TrispH2_008734-RA	novel_protein	CDP-OH_P_transf/
TrH2_TrispH2_008735-RA	glucosamine_phosphate_N_acetyltransferase_1	Acetyltransf_1/
TrH2_TrispH2_008736-RA		CNRIP1/
TrH2_TrispH2_008737-RA	kelch_domain_containing_3	Kelch_4/Kelch_4/Kelch_4/
TrH2_TrispH2_008738-RA		
TrH2_TrispH2_008739-RA	zinc_finger_FYVE_type_containing_21	FYVE/ZFYVE21_C/
TrH2_TrispH2_008740-RA		DUF4477/
TrH2_TrispH2_008741-RA		Amidohydro_3/
TrH2_TrispH2_008742-RA		Amidohydro_3/
TrH2_TrispH2_008743-RA		
TrH2_TrispH2_008744-RA	zinc_finger_protein_like_1	
TrH2_TrispH2_008745-RA	L_2_hydroxyglutarate_dehydrogenase	DAO/
TrH2_TrispH2_008746-RA	SOS_Ras_Rac_guanine_nucleotide_exchange_factor_1	RhoGEF/PH/RasGEF/
TrH2_TrispH2_008747-RA		TPR_12/TPR_12/TPR_10/TPR_12/TPR_12/TPR_8/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_10/
TrH2_TrispH2_008748-RA		SH2/
TrH2_TrispH2_008749-RA	Ras_and_Rab_interactor_1	SH2/
TrH2_TrispH2_008750-RA	protein_kinase_C_eta	C1_1/C1_1/
TrH2_TrispH2_008751-RA	calcineurin_like_EF_hand_protein_1	EF-hand_7/
TrH2_TrispH2_008752-RA	prolactin_releasing_hormone_receptor	7tm_1/
TrH2_TrispH2_008753-RA		
TrH2_TrispH2_008754-RA	prolactin_releasing_hormone_receptor	7tm_1/
TrH2_TrispH2_008755-RA	BRF1_RNA_polymerase_III_transcription_initiation_factor_subunit	TF_Zn_Ribbon/TFIIB/TFIIB/BRF1/
TrH2_TrispH2_008756-RA	solute_carrier_family_3_member_1	Alpha-amylase/
TrH2_TrispH2_008757-RA	prolyl_endopeptidase_like	Peptidase_S9_N/Peptidase_S9/
TrH2_TrispH2_008758-RA	arrestin_domain_containing_3	Arrestin_N/Arrestin_C/
TrH2_TrispH2_008759-RA	RAS_like_proto_oncogene_A	Ras/
TrH2_TrispH2_008760-RA		
TrH2_TrispH2_008761-RA	interleukin_4_induced_1	Amino_oxidase/
TrH2_TrispH2_008762-RA	ribosomal_RNA_processing_8	Methyltransf_8/
TrH2_TrispH2_008763-RA		MGAT2/
TrH2_TrispH2_008764-RA	meprin_A_subunit_beta	Astacin/Laminin_G_3/
TrH2_TrispH2_008765-RA	astacin_like_metalloendopeptidase	Astacin/Laminin_G_3/
TrH2_TrispH2_008766-RA	ATP_binding_cassette_subfamily_C_member_4	ABC_membrane/ABC_tran/ABC_membrane/ABC_tran/
TrH2_TrispH2_008767-RA	ATP_binding_cassette_subfamily_C_member_4	ABC_membrane/ABC_tran/ABC_membrane/ABC_tran/
TrH2_TrispH2_008768-RA	ATP_binding_cassette_subfamily_C_member_4	ABC_membrane/ABC_tran/ABC_membrane/ABC_tran/
TrH2_TrispH2_008769-RA	ATP_binding_cassette_subfamily_C_member_4	ABC_membrane/ABC_membrane/ABC_tran/ABC_membrane/ABC_tran/
TrH2_TrispH2_008770-RA		Dynamin_N/
TrH2_TrispH2_008771-RA	ROS_proto_oncogene_1_receptor_tyrosine_kinase	Dynamin_N/Pkinase_Tyr/Dynamin_N/Pkinase_Tyr/
TrH2_TrispH2_008772-RA	mitofusin_1	Dynamin_N/
TrH2_TrispH2_008773-RA		Dynamin_N/
TrH2_TrispH2_008774-RA		
TrH2_TrispH2_008775-RA		Dynamin_N/Pkinase/
TrH2_TrispH2_008776-RA	mitofusin_2	Dynamin_N/
TrH2_TrispH2_008777-RA		Dynamin_N/
TrH2_TrispH2_008778-RA	insulin_like_growth_factor_1_receptor	Dynamin_N/Pkinase_Tyr/
TrH2_TrispH2_008779-RA	gamma_aminobutyric_acid_type_B_receptor_subunit_2	ANF_receptor/7tm_3/
TrH2_TrispH2_008781-RA	KAT8_regulatory_NSL_complex_subunit_2	zf-C3Hc3H/zf-C3Hc3H/
TrH2_TrispH2_008782-RA	YME1_like_1_ATPase	AAA/AAA_lid_3/Peptidase_M41/
TrH2_TrispH2_008783-RA	cyclin_T2	Cyclin_N/
TrH2_TrispH2_008784-RA	nuclear_cap_binding_protein_subunit_2	RRM_1/
TrH2_TrispH2_008785-RA	kelch_like_family_member_18	BTB/BACK/Kelch_1/Kelch_1/Kelch_1/Kelch_1/Kelch_1/Kelch_1/
TrH2_TrispH2_008786-RA	glutamate_ionotropic_receptor_NMDA_type_subunit_associated_protein_1	Bax1-I/
TrH2_TrispH2_008787-RA		EPSP_synthase/
TrH2_TrispH2_008788-RA		
TrH2_TrispH2_008789-RA		
TrH2_TrispH2_008790-RA		
TrH2_TrispH2_008791-RA		
TrH2_TrispH2_008792-RA		
TrH2_TrispH2_008793-RA		
TrH2_TrispH2_008794-RA		
TrH2_TrispH2_008795-RA		
TrH2_TrispH2_008796-RA	GTP_binding_protein_4	NOG1_N/NOG1/NOGCT/
TrH2_TrispH2_008797-RA	activin_A_receptor_type_2B	Pkinase_Tyr/
TrH2_TrispH2_008798-RA	cyclin_dependent_kinase_2	Pkinase/
TrH2_TrispH2_008799-RA	D_aminoacyl_tRNA_deacylase_1	Tyr_Deacylase/
TrH2_TrispH2_008800-RA	peroxisomal_biogenesis_factor_12	Pex2_Pex12/zf-C3HC4_2/
TrH2_TrispH2_008801-RA	origin_recognition_complex_subunit_4	AAA/ORC4_C/
TrH2_TrispH2_008802-RA		NB-ARC/APAF1_C/
TrH2_TrispH2_008803-RA		7tm_1/
TrH2_TrispH2_008804-RA		
TrH2_TrispH2_008805-RA	UPF0415_protein_C7orf25	Proteasome_A_N/Proteasome/
TrH2_TrispH2_008806-RA	3_hydroxyisobutyrate_dehydrogenase	NAD_binding_2/NAD_binding_11/
TrH2_TrispH2_008807-RA		
TrH2_TrispH2_008808-RA		
TrH2_TrispH2_008809-RA	contactin_associated_protein_family_member_5	Laminin_G_2/Laminin_G_2/Laminin_G_2/
TrH2_TrispH2_008810-RA		
TrH2_TrispH2_008811-RA	novel_protein	Laminin_G_2/Laminin_G_2/Laminin_G_2/
TrH2_TrispH2_008812-RA	holocarboxylase_synthetase	BPL_LplA_LipB/BPL_C/
TrH2_TrispH2_008813-RA	pyroglutamylated_RFamide_peptide_receptor	7tm_1/
TrH2_TrispH2_008814-RA		2OG-FeII_Oxy_4/
TrH2_TrispH2_008815-RA		2OG-FeII_Oxy_4/2OG-FeII_Oxy_3/
TrH2_TrispH2_008816-RA		2OG-FeII_Oxy_4/2OG-FeII_Oxy_3/
TrH2_TrispH2_008817-RA		2OG-FeII_Oxy_4/2OG-FeII_Oxy_3/
TrH2_TrispH2_008818-RA	cilia_and_flagella_associated_protein_74	PapD-like/ASH/
TrH2_TrispH2_008819-RA	cathepsin_A	Peptidase_S10/
TrH2_TrispH2_008820-RA	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	GST_N_4/GST_C_6/
TrH2_TrispH2_008821-RA	HSPB1_associated_protein_1	Cupin_8/
TrH2_TrispH2_008822-RA	jumonji_domain_containing_7	Cupin_8/
TrH2_TrispH2_008823-RA		Cupin_8/
TrH2_TrispH2_008824-RA	lysine_demethylase_8	Cupin_8/
TrH2_TrispH2_008825-RA	lysine_demethylase_8	Cupin_8/
TrH2_TrispH2_008826-RA		Cupin_8/
TrH2_TrispH2_008827-RA		Cupin_8/
TrH2_TrispH2_008828-RA	TRAF_interacting_protein	zf-RING_2/
TrH2_TrispH2_008829-RA		
TrH2_TrispH2_008830-RA		HTH_28/DDE_3/
TrH2_TrispH2_008831-RA		
TrH2_TrispH2_008832-RA		
TrH2_TrispH2_008833-RA	zinc_finger_CCHC_type_containing_24	zf-CCHC_2/zf-3CxxC_2/
TrH2_TrispH2_008834-RA	WT1_transcription_factor	zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/
TrH2_TrispH2_008835-RA	ATPase_family_AAA_domain_containing_3A	DUF3523/AAA/
TrH2_TrispH2_008836-RA	chromosome_1_open_reading_frame_158	
TrH2_TrispH2_008837-RA	ALG3_alpha_1_3_mannosyltransferase	ALG3/
TrH2_TrispH2_008838-RA		Folate_rec/
TrH2_TrispH2_008839-RA	ubiquitin_like_5	
TrH2_TrispH2_008840-RA	elongator_acetyltransferase_complex_subunit_5	Elong_Iki1/
TrH2_TrispH2_008841-RA	UBX_domain_protein_10	UBX/
TrH2_TrispH2_008842-RA	DEAD_box_helicase_19B	DEAD/Helicase_C/
TrH2_TrispH2_008843-RA		
TrH2_TrispH2_008844-RA	ATP_binding_cassette_subfamily_A_member_5	
TrH2_TrispH2_008845-RA		7tm_1/
TrH2_TrispH2_008846-RA		TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/
TrH2_TrispH2_008847-RA		TPR_12/TPR_12/TPR_12/TPR_10/
TrH2_TrispH2_008848-RA		
TrH2_TrispH2_008849-RA	ubiquitin_conjugating_enzyme_E2_I	UQ_con/
